Date,Total System Usage,Area(This is for all Oahu,Energy Type,Energy Type Usage
12/4/2013 12:00:00,1,Total_System_Generation,Coal,179.9
12/4/2013 12:00:00,1,Total_System_Generation,BioFuel,0
12/4/2013 12:00:00,1,Total_System_Generation,WindFarm,3.9
12/4/2013 12:00:00,1,Total_System_Generation,Solar,152.7
12/4/2013 12:00:00,1,Total_System_Generation,Waste2Energy,45.6
12/4/2013 12:00:00,1,Total_System_Generation,Fossil_Fuel,678.8
12/5/2013 12:00:00,913,Total_System_Generation,Coal,180.3
12/5/2013 12:00:00,913,Total_System_Generation,BioFuel,0
12/5/2013 12:00:00,913,Total_System_Generation,WindFarm,1.1
12/5/2013 12:00:00,913,Total_System_Generation,Solar,7.6
12/5/2013 12:00:00,913,Total_System_Generation,Waste2Energy,43.2
12/5/2013 12:00:00,913,Total_System_Generation,Fossil_Fuel,680.8
12/9/2013 12:00:00,973.4,Total_System_Generation,Coal,179.3
12/9/2013 12:00:00,973.4,Total_System_Generation,BioFuel,0
12/9/2013 12:00:00,973.4,Total_System_Generation,WindFarm,5.7
12/9/2013 12:00:00,973.4,Total_System_Generation,Solar,7.5
12/9/2013 12:00:00,973.4,Total_System_Generation,Waste2Energy,47.4
12/9/2013 12:00:00,973.4,Total_System_Generation,Fossil_Fuel,733.5
12/6/2013 12:00:00,903.4,Total_System_Generation,Coal,167.7
12/6/2013 12:00:00,903.4,Total_System_Generation,BioFuel,0
12/6/2013 12:00:00,903.4,Total_System_Generation,WindFarm,4.1
12/6/2013 12:00:00,903.4,Total_System_Generation,Solar,7.1
12/6/2013 12:00:00,903.4,Total_System_Generation,Waste2Energy,46.1
12/6/2013 12:00:00,903.4,Total_System_Generation,Fossil_Fuel,678.4
12/7/2013 12:00:00,979.6,Total_System_Generation,Coal,179.9
12/7/2013 12:00:00,979.6,Total_System_Generation,BioFuel,0
12/7/2013 12:00:00,979.6,Total_System_Generation,WindFarm,4.8
12/7/2013 12:00:00,979.6,Total_System_Generation,Solar,147.1
12/7/2013 12:00:00,979.6,Total_System_Generation,Waste2Energy,46.6
12/7/2013 12:00:00,979.6,Total_System_Generation,Fossil_Fuel,601.2
12/8/2013 12:00:00,816.9,Total_System_Generation,Coal,180.2
12/8/2013 12:00:00,816.9,Total_System_Generation,BioFuel,0
12/8/2013 12:00:00,816.9,Total_System_Generation,WindFarm,4.2
12/8/2013 12:00:00,816.9,Total_System_Generation,Solar,4.9
12/8/2013 12:00:00,816.9,Total_System_Generation,Waste2Energy,17.7
12/8/2013 12:00:00,816.9,Total_System_Generation,Fossil_Fuel,609.9
12/10/2013 12:00:00,916.7,Total_System_Generation,Coal,180.2
12/10/2013 12:00:00,916.7,Total_System_Generation,BioFuel,0
12/10/2013 12:00:00,916.7,Total_System_Generation,WindFarm,25.8
12/10/2013 12:00:00,916.7,Total_System_Generation,Solar,7.9
12/10/2013 12:00:00,916.7,Total_System_Generation,Waste2Energy,47.2
12/10/2013 12:00:00,916.7,Total_System_Generation,Fossil_Fuel,655.6
12/11/2013 12:00:00,939.1,Total_System_Generation,Coal,179.3
12/11/2013 12:00:00,939.1,Total_System_Generation,BioFuel,0
12/11/2013 12:00:00,939.1,Total_System_Generation,WindFarm,7.5
12/11/2013 12:00:00,939.1,Total_System_Generation,Solar,6.3
12/11/2013 12:00:00,939.1,Total_System_Generation,Waste2Energy,15.5
12/11/2013 12:00:00,939.1,Total_System_Generation,Fossil_Fuel,730.5
12/12/2013 12:00:00,,Total_System_Generation,Coal,
12/12/2013 12:00:00,,Total_System_Generation,BioFuel,
12/12/2013 12:00:00,,Total_System_Generation,WindFarm,
12/12/2013 12:00:00,,Total_System_Generation,Solar,
12/12/2013 12:00:00,,Total_System_Generation,Waste2Energy,
12/12/2013 12:00:00,,Total_System_Generation,Fossil_Fuel,
12/13/2013 12:00:00,1,Total_System_Generation,Coal,173.8
12/13/2013 12:00:00,1,Total_System_Generation,BioFuel,0
12/13/2013 12:00:00,1,Total_System_Generation,WindFarm,5.2
12/13/2013 12:00:00,1,Total_System_Generation,Solar,114.8
12/13/2013 12:00:00,1,Total_System_Generation,Waste2Energy,16.9
12/13/2013 12:00:00,1,Total_System_Generation,Fossil_Fuel,736.9
12/14/2013 12:00:00,962.1,Total_System_Generation,Coal,180.1
12/14/2013 12:00:00,962.1,Total_System_Generation,BioFuel,0
12/14/2013 12:00:00,962.1,Total_System_Generation,WindFarm,4.6
12/14/2013 12:00:00,962.1,Total_System_Generation,Solar,132.4
12/14/2013 12:00:00,962.1,Total_System_Generation,Waste2Energy,40.6
12/14/2013 12:00:00,962.1,Total_System_Generation,Fossil_Fuel,604.4
12/15/2013 12:00:00,893.1,Total_System_Generation,Coal,180
12/15/2013 12:00:00,893.1,Total_System_Generation,BioFuel,0
12/15/2013 12:00:00,893.1,Total_System_Generation,WindFarm,0
12/15/2013 12:00:00,893.1,Total_System_Generation,Solar,5.9
12/15/2013 12:00:00,893.1,Total_System_Generation,Waste2Energy,42
12/15/2013 12:00:00,893.1,Total_System_Generation,Fossil_Fuel,665.2
12/16/2013 12:00:00,871.7,Total_System_Generation,Coal,180
12/16/2013 12:00:00,871.7,Total_System_Generation,BioFuel,0
12/16/2013 12:00:00,871.7,Total_System_Generation,WindFarm,5.8
12/16/2013 12:00:00,871.7,Total_System_Generation,Solar,7.8
12/16/2013 12:00:00,871.7,Total_System_Generation,Waste2Energy,40.3
12/16/2013 12:00:00,871.7,Total_System_Generation,Fossil_Fuel,637.8
12/17/2013 12:00:00,847.2,Total_System_Generation,Coal,178.4
12/17/2013 12:00:00,847.2,Total_System_Generation,BioFuel,0
12/17/2013 12:00:00,847.2,Total_System_Generation,WindFarm,4.3
12/17/2013 12:00:00,847.2,Total_System_Generation,Solar,8
12/17/2013 12:00:00,847.2,Total_System_Generation,Waste2Energy,49.3
12/17/2013 12:00:00,847.2,Total_System_Generation,Fossil_Fuel,607.2
12/18/2013 12:00:00,946.9,Total_System_Generation,Coal,179.7
12/18/2013 12:00:00,946.9,Total_System_Generation,BioFuel,0
12/18/2013 12:00:00,946.9,Total_System_Generation,WindFarm,10.9
12/18/2013 12:00:00,946.9,Total_System_Generation,Solar,67.7
12/18/2013 12:00:00,946.9,Total_System_Generation,Waste2Energy,68.7
12/18/2013 12:00:00,946.9,Total_System_Generation,Fossil_Fuel,619.9
12/19/2013 12:00:00,882.3,Total_System_Generation,Coal,179.3
12/19/2013 12:00:00,882.3,Total_System_Generation,BioFuel,0
12/19/2013 12:00:00,882.3,Total_System_Generation,WindFarm,14.9
12/19/2013 12:00:00,882.3,Total_System_Generation,Solar,8.4
12/19/2013 12:00:00,882.3,Total_System_Generation,Waste2Energy,67.1
12/19/2013 12:00:00,882.3,Total_System_Generation,Fossil_Fuel,612.6
12/20/2013 12:00:00,1,Total_System_Generation,Coal,169.7
12/20/2013 12:00:00,1,Total_System_Generation,BioFuel,0
12/20/2013 12:00:00,1,Total_System_Generation,WindFarm,23.8
12/20/2013 12:00:00,1,Total_System_Generation,Solar,129.5
12/20/2013 12:00:00,1,Total_System_Generation,Waste2Energy,71.8
